,label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50
,1.0000000e+00,3.8414116e+00,3.8718368e+00,3.6502298e+00,3.9029437e+00,4.0692367e+00,2.6820174e+00,4.4481096e+00,3.7544030e-01,4.1098184e+00,2.3974392e+00,4.0018148e+00,5.3728844e+00,1.8604586e+00,3.6600454e+00,2.4776985e+00,3.5644079e+00,4.1467839e+00,2.3003330e+00,3.4062981e+00,4.1942423e+00,2.1451178e+00,4.7144941e+00,3.7414357e+00,4.2124103e+00,3.0231587e+00,2.0377453e+00,2.0407122e+00,4.8718505e+00,4.4055498e+00,2.0929774e+00,3.2717616e+00,5.0025544e+00,3.7023695e+00,1.7460156e+00,1.0266613e+00,3.0745038e+00,2.6365750e+00,4.0835212e+00,4.0896095e+00,1.4718475e+00,1.6595038e+00,9.9048947e-01,4.2672544e+00,3.6491170e+00,2.4008310e+00,2.8310233e+00,3.2533002e+00,3.2692804e+00,2.2477646e+00,2.6850316e+00
,2.0000000e+00,3.0088417e+00,2.1463729e+00,2.7290041e+00,3.3715499e+00,3.8040376e+00,3.5057369e+00,3.7071617e+00,3.8373207e+00,3.2581042e+00,1.3250819e+00,6.6215407e+00,2.4682029e+00,1.9540692e+00,3.2445308e+00,4.3180592e+00,3.1791595e+00,3.6958324e+00,4.0113103e+00,1.8345497e+00,3.8808986e+00,3.0936285e+00,4.3948850e+00,2.6048707e+00,4.3876296e+00,2.8142144e+00,2.0928227e+00,3.7541919e+00,1.7173339e+00,4.6917533e+00,4.0356980e+00,4.1600487e+00,3.3150871e+00,4.9549794e+00,1.7327658e+00,2.4763842e+00,3.9024228e+00,1.6998294e+00,2.6335511e+00,3.9321734e+00,2.6586654e+00,3.8977829e+00,3.0875889e+00,2.9947518e+00,2.9791337e+00,1.6649975e+00,1.7359518e+00,4.3285957e+00,2.7705913e+00,2.6877510e+00,4.4829273e+00
,1.0000000e+00,3.3206322e+00,3.6808425e+00,4.3280596e+00,3.1584771e+00,2.4966280e+00,2.7697333e+00,1.7144279e+00,2.8248354e+00,2.7838185e+00,2.9214810e+00,4.0985712e+00,3.4315457e+00,2.6129706e+00,3.0402358e+00,2.0383879e+00,3.1868361e+00,1.0064853e+00,1.8873224e+00,2.3983206e+00,3.5196064e+00,5.0432986e+00,3.0186887e+00,1.7697379e+00,2.0471634e+00,2.2497294e+00,3.5830695e+00,3.2326379e+00,2.8504343e+00,3.3433613e+00,4.0447190e+00,2.2003858e+00,2.5098028e+00,4.0215638e+00,3.5030192e+00,3.0485325e+00,3.6966384e+00,3.5460902e+00,3.4396580e+00,2.2240203e+00,2.7829131e+00,2.2621396e+00,7.8950207e-01,1.0929678e+00,2.4448732e+00,4.0300466e+00,2.4369531e+00,3.9880434e+00,2.2737212e+00,4.5461166e+00,2.7886591e+00
,2.0000000e+00,4.4218200e+00,3.0156374e+00,2.2653322e+00,2.9862686e+00,1.3997271e+00,2.7486106e+00,3.0794424e+00,2.9618174e+00,3.0577313e+00,2.2255629e+00,4.0999484e+00,2.5197161e+00,3.1619054e+00,2.0801183e+00,1.8132571e+00,1.5991745e+00,1.6309097e+00,3.8890109e+00,2.4242692e+00,4.3748526e+00,2.3706022e+00,2.5413710e+00,3.2718510e+00,1.6137969e+00,2.4587814e+00,3.1187367e+00,4.2023324e+00,3.6900579e+00,3.0995454e+00,1.9452265e+00,3.7404878e+00,3.7706882e+00,2.1064350e+00,2.1343815e+00,3.2178865e+00,3.1547057e+00,2.5089489e+00,2.0067302e+00,3.1052886e+00,6.6509191e-01,1.5471124e+00,4.7952327e+00,3.3137763e+00,9.4185934e-01,4.3858641e+00,2.7801872e+00,4.4348012e+00,2.5703679e+00,3.3350652e+00,3.2701284e+00
,1.0000000e+00,2.7908204e+00,2.7865106e+00,2.0740412e+00,2.8705311e+00,2.2035216e+00,5.0750359e+00,4.9273869e+00,2.8357160e+00,2.8457143e+00,2.6251555e+00,2.1616284e+00,1.2623729e+00,4.0524785e+00,3.4977829e+00,2.4485601e+00,3.2384064e+00,2.3260125e+00,3.4552913e+00,2.2547885e+00,3.1149086e+00,2.7738794e+00,3.0840998e+00,3.3318959e+00,4.6079995e+00,2.9863574e+00,4.6047700e+00,3.0740164e+00,1.8854448e+00,3.0009138e+00,3.1887033e+00,3.8859172e+00,5.3820780e+00,3.9582519e+00,3.7988415e+00,3.3437321e+00,3.6857934e+00,2.6089727e+00,3.1658786e+00,3.9450818e+00,2.1830831e+00,4.6081309e+00,3.3540116e+00,3.4986917e+00,1.3788292e+00,3.4976868e+00,4.5126951e+00,4.6572614e+00,2.7099056e+00,2.7216376e+00,4.2423065e+00
,2.0000000e+00,2.9653215e+00,3.1383812e+00,6.1348165e-01,2.5357397e+00,2.4279806e+00,3.4096746e+00,1.6775321e+00,1.3227753e+00,3.8102612e+00,2.2797442e+00,3.5545113e+00,3.5330242e+00,2.9684946e+00,2.1638528e+00,3.6413460e+00,1.0756449e+00,3.1081387e+00,1.5750515e+00,4.1801272e+00,2.9729234e+00,2.6468429e+00,2.0667046e+00,8.5763201e-01,2.8720468e+00,3.6188383e+00,1.3612582e+00,2.6216656e+00,3.6357651e+00,1.3289111e+00,2.1666083e+00,3.8203247e+00,3.2041680e+00,4.1209169e+00,2.3571882e+00,1.7015072e+00,2.1431952e+00,2.4563654e+00,2.7876950e+00,2.5754024e+00,5.1484203e+00,3.7633236e+00,4.0878467e+00,3.1460394e+00,3.2048832e+00,4.6654775e+00,1.0592340e+00,3.3473644e+00,2.2753810e+00,2.1351983e+00,7.4173968e-01
,2.0000000e+00,1.9641751e+00,3.9062858e+00,1.3957204e+00,3.0943863e+00,7.8506931e-01,3.9863160e+00,1.8624198e+00,2.8037852e+00,3.3276089e+00,1.5486347e+00,2.0223701e+00,2.5155253e+00,2.6314009e+00,1.7921846e+00,1.9452075e+00,9.5518831e-01,2.6571685e+00,2.3621220e+00,4.1887847e+00,3.8446762e+00,1.1859398e+00,4.3345289e+00,4.2411165e+00,1.2984809e+00,2.1303636e+00,2.9549920e+00,2.2610468e+00,2.7871084e+00,4.0512102e+00,3.6926691e+00,3.8513317e+00,3.6955051e+00,1.5587220e+00,1.5312982e+00,2.6319822e+00,3.2568555e+00,4.8381256e+00,1.7571424e+00,3.0548678e+00,4.2823502e+00,3.4900099e+00,3.0652644e+00,3.5297501e+00,2.6673625e+00,3.0623390e+00,3.8712917e+00,2.6270060e+00,3.4727227e+00,8.6215147e-01,3.6369439e+00
,2.0000000e+00,3.7096710e+00,1.1260351e+00,3.2083391e+00,4.0193257e+00,4.5183995e+00,3.4808555e+00,3.0966017e+00,3.7684698e+00,3.0897151e+00,2.5548061e+00,1.8493864e+00,3.2836498e+00,4.8158616e+00,4.4493875e+00,2.1282894e+00,2.9828068e+00,3.9181503e+00,3.1484584e+00,4.5760333e+00,1.3960646e+00,1.6998397e+00,2.8497090e+00,1.6304923e+00,1.8292192e+00,2.2836996e+00,3.3030115e+00,3.1759167e+00,3.7160368e+00,2.4596520e+00,4.0887275e+00,3.0130486e+00,2.7991067e+00,1.2583061e+00,3.8180641e+00,3.8233493e+00,2.9698867e+00,2.8259415e+00,4.4079581e+00,3.7692862e+00,3.7128301e+00,3.4872036e+00,3.1700432e+00,1.3346110e+00,3.4386193e+00,1.1992984e+00,1.8861116e+00,2.7253629e+00,2.8002225e+00,3.3782536e+00,2.1554880e+00
,2.0000000e+00,3.1593775e+00,3.3104118e+00,3.3281978e+00,3.0311943e+00,3.5169484e+00,1.3117778e+00,3.1881756e+00,2.1173486e+00,2.1767825e+00,3.3341003e+00,3.1989770e+00,3.3715075e+00,3.2403179e+00,1.9094678e+00,3.6211599e+00,1.7426493e+00,1.5894274e+00,2.2342708e+00,1.9062398e+00,2.6912663e+00,1.4922009e+00,4.8990116e+00,3.6992919e+00,2.2987470e+00,2.0363437e+00,1.8814445e+00,3.3755061e+00,3.6552299e+00,2.3924954e+00,3.8681734e+00,4.4857682e+00,3.7212698e+00,3.3252038e+00,2.7387959e+00,3.4252700e+00,3.0045150e+00,4.3474839e+00,3.3607421e+00,3.0763011e+00,4.4716280e+00,1.6137141e+00,3.0134986e+00  -3.6641481e-01,4.7489706e+00,3.5016721e+00,2.3916146e+00,4.6337838e+00,3.7757250e+00,2.0643853e+00,2.7255628e+00
,2.0000000e+00,3.0119143e+00,4.8355050e+00,8.1121550e-01,3.6066773e+00,2.7362076e+00,3.6148320e+00,3.3219394e+00,4.3455784e+00,2.5477530e+00,1.6579703e+00,3.4525498e+00,2.5664569e+00,3.0669833e+00,2.4039665e+00,2.4363874e+00,3.6680045e+00,2.7394750e+00,6.9795446e-01,3.3376505e+00,2.4191153e+00,5.5065551e+00,1.8769761e+00,4.4201831e+00,4.0719399e+00,3.8936706e+00,4.8393964e+00,2.7854958e+00,2.2703155e+00,3.6663641e+00,1.7971551e+00,2.9465642e+00,2.7380399e+00,3.4546317e+00,3.2063190e+00,1.4545527e+00,2.6212413e+00,2.4994409e+00,4.2440154e+00,3.1367846e+00,2.9333561e+00,1.3291880e+00,5.0742423e+00,1.8997843e+00,1.7621046e+00,3.4135327e+00,3.2868583e+00,2.8371838e+00,3.2949973e+00,4.5431796e+00,4.0213859e+00
