,label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
,2.0000000e+00,4.8686000e+00,1.9157125e+00,3.1364059e+00,3.7915491e+00,3.5568886e+00,3.3940251e+00,3.2932265e+00,2.9565857e+00,1.3060333e+00,2.9621050e+00
,2.0000000e+00,2.1491530e+00,3.0737826e+00,3.7823241e+00,3.0032906e+00,2.1728514e+00,3.2532507e+00,2.6047903e+00,4.0785614e+00,3.1090006e+00,2.5487034e+00
,2.0000000e+00,3.0088925e+00,3.4703529e+00,3.0783038e+00,3.5493410e+00,2.7124368e+00,4.1720535e+00,2.5220447e+00,2.7702143e+00,3.0333963e+00,2.7662017e+00
,2.0000000e+00,2.0983207e+00,4.2183043e+00,1.7203653e+00,4.4059515e+00,4.0323166e+00,2.3528905e+00,1.4360525e+00,1.6444729e+00,4.8652603e+00,2.8990340e+00
,2.0000000e+00,3.6677348e+00,4.1435278e+00,2.5100374e+00,3.5718057e+00,4.6627666e+00,2.7787733e+00,2.1133776e+00,2.1691255e+00,1.9505994e+00,1.8278578e+00
,1.0000000e+00,3.3073119e+00,3.2781173e+00,2.8310858e+00,4.1340442e+00,3.7310302e+00,2.6388685e+00,3.4131043e+00,3.2887936e+00,2.8129964e+00,2.4809218e+00
,2.0000000e+00,2.1938789e+00,3.5664406e+00,3.0077633e+00,1.7787695e+00,1.3804275e+00,1.8210034e+00,2.1538653e+00,2.9757217e+00,3.1961693e+00,3.4414504e+00
,1.0000000e+00,4.3748789e+00,3.2626651e+00,3.2474106e+00,2.1676521e+00,2.6126175e+00,1.5656100e+00,2.7166627e+00,3.0949443e+00,1.8807874e+00,3.1391505e+00
,2.0000000e+00,3.7694326e+00,1.4734748e+00,3.8491875e+00,5.1811888e+00,2.3958410e+00,3.0976220e+00,4.0556553e+00,5.7762563e+00,1.9676206e+00,3.8660956e+00
,2.0000000e+00,2.9794247e+00,2.8532373e+00,4.0531161e+00,1.9563928e+00,3.1505889e+00,2.3231816e+00,1.1313165e+00,2.8295752e+00,3.0159239e+00,1.8655941e+00
,1.0000000e+00,2.3746411e+00,2.8396242e+00,3.2922342e+00,3.1759870e+00,3.9867071e+00,3.4173249e+00,2.8194993e+00,3.6879962e+00,2.5577754e+00,3.0249671e+00
,1.0000000e+00,3.2747885e+00,3.3260718e+00,2.7647359e+00,1.2182013e+00,2.4908014e+00,2.7799378e+00,1.1995399e+00,3.6452635e+00,2.6993220e+00,2.6522830e+00
,1.0000000e+00,4.2307558e+00,3.9808718e+00,3.4109542e+00,3.4217976e+00,3.5057652e+00,2.8033032e+00,1.6550745e+00,3.2361454e+00,1.6732360e+00,2.6208110e+00
,2.0000000e+00,2.8682024e+00,3.4384456e+00,2.1743045e+00,4.4083185e+00,2.0954658e+00,3.5760678e+00,2.8766305e+00,3.1329449e+00,2.1854709e+00,1.6981925e+00
,2.0000000e+00,2.7059765e+00,1.7513919e+00,2.4545496e+00,1.6820388e+00,2.3364077e+00,3.2620642e+00,2.2562419e+00,4.3781127e+00,3.7239105e+00,3.7749536e+00
,2.0000000e+00,4.0292518e+00,2.8475028e+00,3.3433921e+00,4.0957834e+00,4.0818062e+00,2.1095874e+00,3.5429404e+00,2.8565213e+00,2.1743555e+00,2.8238500e+00
,1.0000000e+00,3.0388423e+00,2.8257830e+00,1.3651009e+00,3.5989935e+00,2.7067158e+00,3.4231922e+00,3.2503990e+00,3.2155923e+00,5.9849111e+00,2.3955137e+00
,1.0000000e+00,3.2577536e+00,2.9284559e+00,3.1125698e+00,7.0442251e-01,2.4842533e+00,5.3443225e+00,3.0920837e+00,3.5071123e+00,1.9726031e+00,2.9071415e+00
,2.0000000e+00,5.1713121e+00,7.8699503e-01,4.5298013e+00,3.0406983e+00,1.4388726e+00,2.4006396e+00,3.3605532e+00,2.0738832e+00,3.4934746e+00,3.0601564e+00
,2.0000000e+00,4.6038255e+00,4.6896409e+00,4.4551642e+00,4.7367538e+00,1.4991084e+00,3.1435270e+00,2.5666246e+00,4.3841856e+00,3.2910810e+00,1.3703103e+00
,1.0000000e+00,4.0379620e+00,4.8978183e+00,4.3814732e+00,3.1458285e+00,4.0328443e+00,4.7724442e+00,3.3579436e+00,3.4808507e+00,3.3740274e+00,2.6662267e+00
,2.0000000e+00,2.7970855e+00,4.2252283e+00,1.5846290e+00,4.4603395e+00,1.5559456e+00,2.7554932e+00,3.1451576e+00,2.1546130e+00,2.0239120e+00,2.0350599e+00
,2.0000000e+00,1.9214913e+00,4.9339077e+00,2.4894584e+00,2.5379131e+00,2.1664325e+00,4.3980488e+00,1.1726057e+00,4.1794647e+00,3.2766629e+00,1.6979607e+00
,2.0000000e+00,6.5543287e-01,1.8345567e+00,3.0730410e+00,3.7058503e+00,4.6093898e+00,2.6104983e+00,2.4611752e+00,4.0564507e+00,4.1222332e+00,3.5932385e+00
,2.0000000e+00,3.2124974e+00,1.2515349e+00,2.9971662e+00,5.0304079e+00,3.8413577e+00,2.8055693e+00,3.0881628e+00,2.1520662e+00,1.9736583e+00,3.9039509e+00
,2.0000000e+00,5.4842018e+00,4.1615449e+00,2.5722397e+00,2.4114353e+00,5.1085709e+00,1.1663928e+00,4.0441423e+00,3.2124147e+00,2.5069384e+00,3.1104308e+00
,2.0000000e+00,3.7394603e+00,1.9875225e+00,3.0802067e+00,2.3297710e+00,4.0077818e+00,1.9918392e+00,3.5237141e+00,3.1882839e+00,4.1019825e+00,4.3654470e+00
,1.0000000e+00,3.5446260e+00,2.2226868e+00,4.9282275e+00,2.6346528e+00,2.5115295e+00,3.7306540e+00,3.4510142e+00,3.0943368e+00,4.0350474e+00,3.5015212e+00
,2.0000000e+00,2.3737883e+00,3.8529469e+00,2.0599495e+00,3.0527426e+00,2.9454206e+00,3.7018032e+00,3.9160920e+00,1.8502594e+00,3.0110667e+00,3.8871167e+00
,1.0000000e+00,3.5551772e+00,2.7244815e+00,2.1575948e+00,1.1806840e+00,3.3331726e+00,1.3857939e+00,1.1343606e+00,3.5116085e+00,2.6595891e+00,2.5954640e+00
,1.0000000e+00,2.2335434e+00,3.3069995e+00,2.7716790e+00,2.4186767e+00,3.2887144e+00,8.4157063e-01,1.3805920e+00,3.6618164e+00,2.4073765e+00,2.5287992e+00
,2.0000000e+00,3.7604424e+00,4.3771023e+00,3.7596159e+00,3.1588423e+00,3.4385765e+00,2.7594987e+00,1.8486501e+00,3.9755941e+00,3.2935105e+00,3.2257241e+00
,1.0000000e+00,3.4590397e+00,9.3116566e-01,1.9125895e+00,2.3575327e+00,4.2671498e+00,2.0501707e+00,1.4095571e+00,3.5979342e+00,4.2261040e+00,2.6929139e+00
,2.0000000e+00,2.6338949e+00,4.3889075e+00,3.1756960e+00,2.1370836e+00,1.7708972e+00,4.6136761e+00,1.6207546e+00,3.5976329e+00,1.6797626e+00,3.9030656e+00
,2.0000000e+00,1.9225671e+00,4.4617704e+00,2.6980196e+00,2.7125984e+00,3.5746031e+00,2.4015139e+00,3.4181289e+00,2.0758012e+00,3.4650562e+00,4.7580630e+00
,2.0000000e+00,2.0148295e+00,2.3360227e+00,1.2780668e+00,2.0287240e+00,3.3935717e+00,2.1774499e+00,2.3004065e+00,3.5203312e+00,2.7727255e+00,4.3171360e+00
,1.0000000e+00,3.4519040e+00,2.7327621e+00,3.7510470e+00,1.5997011e+00,3.8298837e+00,5.4633668e+00,2.2924313e+00,3.3613201e+00,2.9921524e+00,2.3952555e+00
,2.0000000e+00,3.6856935e+00,2.6046272e+00,2.3715479e+00,1.0489900e+00,3.2171795e+00,2.4414148e+00,1.9257166e+00,3.1302426e+00,2.9658490e+00,4.0824257e+00
,2.0000000e+00,3.0395143e+00,2.5415485e+00,1.9392869e+00,3.1569423e+00,3.1056843e+00,1.9458079e+00,2.3311773e+00,2.8095080e+00,3.6748971e+00,2.8852725e+00
,2.0000000e+00,1.9092924e+00,3.0807337e+00,2.7456163e+00,1.4121677e+00,2.6705397e+00,2.8431140e+00,3.8983651e+00,2.0080972e+00,2.2112882e+00,4.3322107e+00
,2.0000000e+00,3.8696100e+00,4.3886169e+00,4.7492265e+00,3.8526640e+00,2.6697100e+00,2.9072993e+00,3.4154469e+00,2.8982678e+00,1.6231851e+00,4.1793969e+00
,2.0000000e+00,3.0922963e+00,2.0261340e+00,5.5376698e+00,3.8162865e+00,2.3442008e+00,1.7767220e+00,2.5892882e+00,1.8316896e+00,1.0834008e+00,4.4205733e+00
,2.0000000e+00,3.0045210e+00,3.9314362e+00,4.2035273e+00,1.9673772e+00,2.8456726e+00,4.3530013e+00,2.1003892e+00,2.7259331e+00,4.4823335e+00,4.1682813e+00
,2.0000000e+00,4.7700787e+00,1.9609550e+00,3.9471059e+00,2.3214050e+00,4.1838370e+00,1.7638003e+00,3.6174323e+00,4.5592553e+00,2.1413889e+00,2.8212912e+00
,2.0000000e+00,1.2349515e+00,2.8891471e+00,2.3046831e+00,2.0155259e+00,3.8127788e+00,3.5709626e+00,4.9241449e+00,2.3712391e+00,3.5193201e+00,2.2470566e+00
,2.0000000e+00,2.6093327e+00,2.8049041e+00,3.8015146e+00,4.0226393e+00,2.9268397e+00,2.2800210e+00,3.9535862e+00,2.0343546e+00,3.3131088e+00,2.8817691e+00
,2.0000000e+00,3.5731393e+00,1.4723407e+00,3.4260198e+00,4.6531113e+00,4.0622063e+00,3.7033700e+00,6.6758523e-01,1.1449648e+00,5.0022520e+00,2.7833569e+00
,2.0000000e+00,2.5448668e+00,1.5214860e+00,2.1673746e+00,2.7119284e+00,3.9918326e+00,3.5182531e+00,1.6862687e+00,2.3206823e+00,2.2774672e+00,3.1381848e+00
,2.0000000e+00,4.0663711e+00,2.2560998e+00,3.0727940e+00,2.9623425e+00,4.1912538e+00,1.6222655e+00,3.8571013e+00,1.7998006e+00,3.7732796e+00,4.6088785e+00
,1.0000000e+00,2.8575927e-01,3.4460591e+00,4.6000662e+00,1.6803374e+00,3.5059962e+00,3.4524522e+00,3.6795924e+00,3.6016186e+00,1.2540822e+00,3.0183141e+00
,2.0000000e+00,5.4505680e-01,3.8112944e+00,4.0327891e+00,3.6632205e+00,4.2710102e+00,2.1043748e+00,3.4023754e+00,5.1688980e-01,3.3069334e+00,3.5059539e+00
,2.0000000e+00,2.8877904e+00,2.1988479e+00,3.9124576e+00,4.2685671e+00,4.1673002e+00,3.2496444e+00,3.2837536e+00,2.5803404e+00,3.6816852e+00,3.6727281e+00
,2.0000000e+00,3.2172564e+00,3.3271249e+00,2.5869640e+00,2.0118017e+00,6.0361252e+00,3.5581630e+00,4.3254083e+00,3.4778519e+00,4.0797981e+00,2.0898380e+00
,2.0000000e+00,2.2888316e+00,2.4714429e+00,3.4774231e+00,2.5190806e+00,2.8418952e+00,4.4684132e+00,3.6131556e+00,3.9024757e+00,2.5928635e+00,3.5790495e+00
,2.0000000e+00,2.3299012e+00,2.3707573e+00,2.8950136e+00,2.8870090e+00,5.9634691e-01,1.3542594e+00,3.8864393e+00,2.4723035e+00,1.1881887e+00,4.4649377e+00
,2.0000000e+00,1.9493019e+00,3.3837956e+00,2.4098506e+00,2.6279015e+00,3.4630819e+00,3.0070712e+00,2.1952052e+00,3.1445957e+00,3.9269603e+00,5.3763189e+00
,2.0000000e+00,2.7928770e+00,3.0739536e+00,1.7612468e+00,2.0522581e+00,1.4076520e+00,4.2809908e+00,3.1233401e+00,4.6009346e+00,5.1316933e+00,2.2597722e+00
,2.0000000e+00,3.1061713e+00,2.3388855e+00,4.2805307e+00,4.2823014e+00,2.6236808e+00,2.9855990e+00,5.6404805e-01,4.4542282e+00,2.4701186e+00,2.1164706e+00
,2.0000000e+00,3.4485041e+00,1.1765850e+00,4.6907301e+00,1.5651030e+00,2.0090285e+00,2.1763764e+00,3.5548365e+00,1.6176973e+00,2.5340744e+00,6.4842680e-01
,2.0000000e+00,3.0294505e+00,3.8226179e+00,4.4420507e+00,3.3426345e+00,1.5617942e+00,3.4023017e+00,2.1425611e+00,1.7118054e+00,3.9361761e+00,2.9209762e+00
,1.0000000e+00,2.3843046e+00,2.7454710e+00,2.3697993e+00,2.8057187e+00,3.9378854e+00,3.3604965e+00,3.2764788e+00,3.3253340e+00,2.9250348e+00,2.3593282e+00
,2.0000000e+00,4.5308594e+00,2.7464480e+00,1.4445559e+00,2.3869044e+00,2.1541040e+00,1.5729278e+00,1.9625849e+00,2.1892561e+00,4.2112930e+00,2.4889092e+00
,2.0000000e+00,4.9081541e+00,1.5625911e+00,2.6912586e+00,1.9249162e+00,3.3102727e+00,2.6658665e+00,2.4798669e+00,3.9255821e+00,4.3911440e+00,2.1383628e+00
,2.0000000e+00,3.2566648e+00,2.8753364e+00,2.8184943e+00,2.4071317e+00,2.6531436e+00,1.2195715e+00,8.5068642e-01,4.6156358e+00,2.7260110e+00,2.3114433e+00
,2.0000000e+00,2.4784943e+00,2.6425481e+00,3.5512424e+00,3.6185366e+00,2.8668784e+00,5.0652867e+00,3.1306147e+00,4.9962485e+00,3.2858203e+00,3.5834057e+00
,1.0000000e+00,2.6154901e+00,3.2437713e+00,2.9036692e+00,3.0000898e+00,4.4323137e+00,2.1474904e+00,2.8215174e+00,3.5148210e+00,1.9662223e+00,2.3208732e+00
,2.0000000e+00,1.6663891e+00,2.6854118e+00,3.0812209e+00,3.8131180e+00,2.7492023e+00,2.5541528e+00,1.7971912e+00,3.6860557e+00,2.9217543e+00,1.8891694e+00
,2.0000000e+00,4.5435200e+00,2.2342270e+00,5.0851019e+00,2.0139177e+00,1.9259091e+00,2.5899335e+00,3.4420660e+00,2.8496570e+00,3.2943883e+00,1.3052631e+00
,2.0000000e+00,2.5461455e+00,3.2343909e+00,4.5322454e+00,3.5062848e+00,2.5858268e+00,2.0438999e+00,3.3977235e+00,2.3010920e+00,2.7538346e+00,2.2082872e+00
,2.0000000e+00,3.9953046e+00,2.8703638e+00,1.8001814e+00,2.3195975e+00,3.8641812e+00,3.9000659e+00,1.7721319e+00,3.9794328e+00,4.4478148e+00,4.2889078e+00
,2.0000000e+00,5.0279280e+00,2.1139936e+00,2.8891896e+00,2.8411449e+00,3.2237169e+00,2.8962103e+00,3.5556334e+00,2.1035485e+00,3.8838395e+00,1.2299547e+00
,2.0000000e+00,3.5522516e+00,3.1085755e+00,9.6221511e-01,3.1189949e+00,2.5236627e+00,2.1697842e+00,3.6796846e+00,2.7871470e+00,3.9093546e+00,3.2089971e+00
,1.0000000e+00,3.9815452e+00,3.2252460e+00,1.9785773e+00,4.4032109e+00,2.5725569e+00,3.2925355e+00,3.2257046e+00,3.2616427e+00,4.2170989e+00,3.4445335e+00
,2.0000000e+00,2.3586728e+00,1.5817093e+00,2.5429361e+00,1.0362512e+00,3.1989955e+00,2.8311458e+00,2.3772214e+00,4.0765862e+00,4.5641377e+00,2.6436446e+00
,2.0000000e+00,3.1082851e+00,2.5277845e+00,4.2599241e+00,1.5252614e+00,1.2033183e+00,2.9679015e+00,4.1457877e+00,3.3604476e+00,3.4887450e+00,6.5125356e-01
,2.0000000e+00,3.9447059e+00,2.8569025e+00,1.6545589e+00,1.9815645e+00,4.4437394e+00,4.2750212e+00,3.9533263e+00,2.8555063e+00,3.3471595e+00,3.7596741e+00
,2.0000000e+00,5.1624784e+00,5.3015252e-01,2.6647994e+00,3.2288332e+00,2.9640992e+00,4.8166113e+00,2.1037158e+00,4.1819521e+00,4.1673998e+00,2.7389475e+00
,2.0000000e+00,2.5564191e+00,2.8296811e+00,3.8330289e+00,1.7029566e+00,3.3378953e+00,3.2981959e+00,2.7661345e+00,5.3422483e+00,3.4198759e+00,1.5958144e+00
,2.0000000e+00,1.3473699e+00,2.7719839e+00,3.0248132e+00,2.4184036e+00,3.8419863e+00,1.8426105e+00,4.3218290e+00,3.3532363e+00,2.7958525e+00,4.0770701e+00
,2.0000000e+00,3.7862463e+00,2.0189931e+00,1.2272069e+00,4.7137099e+00,1.7435096e+00,3.0620204e+00,2.7889185e+00,1.3736982e+00,3.4152706e+00,3.0012820e+00
,2.0000000e+00,2.7157886e+00,2.5298487e+00,3.5836452e+00,3.2673408e+00,3.5488071e+00,1.3702547e+00,2.8157274e+00,2.2860290e+00,3.1130343e+00,3.1581472e+00
,2.0000000e+00,2.0323895e+00,2.9298680e+00,4.7983664e+00,3.1989574e+00,3.7298579e+00,2.4870472e+00,3.7592736e+00,2.1283464e+00,2.8555346e+00,2.1150278e+00
,2.0000000e+00,4.5149762e+00,3.1290594e+00,4.0805965e+00,2.9516903e+00,2.0043878e+00,2.7282596e+00,2.7606377e+00,1.3789127e+00,2.4721647e+00,2.1053953e+00
,2.0000000e+00,2.5949794e+00,3.2373583e+00,3.7371668e+00,4.1360519e+00,3.5981569e+00,3.8964470e+00,3.5149846e+00,2.5210532e+00,3.3831690e+00,3.4968773e+00
,2.0000000e+00,1.3105628e+00,1.1170176e+00,3.8295661e+00,2.7097176e+00,2.8695087e+00,3.4942548e+00,1.8054195e+00,4.9165837e+00,3.6818786e+00,2.0722571e+00
,1.0000000e+00,4.1338760e+00,6.5774674e-01,2.1743435e+00,2.5927838e+00,3.2726480e+00,3.3481445e+00,4.5442790e+00,3.6122809e+00,1.1477835e+00,2.4674973e+00
,1.0000000e+00,2.3390670e+00,2.7104200e+00,2.4950984e+00,1.6142490e+00,2.8503709e+00,3.3984019e+00,2.0660583e+00,3.6567214e+00,4.1857722e+00,3.3650382e+00
,2.0000000e+00,2.1383793e+00,3.4782398e+00,1.1960103e+00,1.7256363e+00,2.9340809e+00,3.0924658e+00,1.3297075e+00,3.2439463e+00,4.4314796e+00,4.4482071e+00
,2.0000000e+00,2.3095622e+00,2.8251270e+00,2.8983118e+00,3.8670178e+00,2.6003395e+00,2.6666392e+00,3.4812798e+00,3.3244299e+00,2.4278686e+00,4.8047757e+00
,1.0000000e+00,2.7911829e+00,3.2830083e+00,3.2797156e+00,3.2565416e+00,1.2771003e+00,3.4430722e+00,3.3227307e+00,3.1036776e+00,2.5396987e+00,3.8491337e+00
,2.0000000e+00,3.8317700e+00,2.9985908e+00,2.1733977e+00,3.7871956e+00,2.0890693e+00,5.3772294e+00,3.6220461e+00,3.2313843e+00,2.9033963e+00,1.6567558e+00
,2.0000000e+00,3.3061334e+00,3.4646891e+00,3.4758464e+00,2.2296440e+00,3.1302428e+00,2.8017520e+00,4.0982119e+00,2.7876427e+00,4.4653148e+00,3.6306667e+00
,2.0000000e+00,3.2959738e+00,3.2123639e+00,2.8113219e+00,2.7813086e+00,3.3812531e+00,2.7290686e+00,2.3110807e+00,1.1260623e+00,2.5377995e+00,3.4349225e+00
,1.0000000e+00,3.5369751e+00,1.6552311e+00,4.5402300e+00,2.7189777e+00,4.6822833e+00,2.1946908e+00,3.3424906e+00,3.0911243e+00,2.5913343e+00,2.2715587e+00
,2.0000000e+00,3.0564446e+00,4.2635451e+00,2.3002764e+00,2.7211302e+00,3.1363455e+00,4.1883134e+00,2.8525425e+00,2.6441256e+00,3.8900412e+00,2.5259824e+00
,2.0000000e+00,2.8185539e+00,3.6617257e+00,1.9877445e+00,2.3734585e+00,3.5485489e+00,3.9137740e+00,3.8623705e+00,4.0261452e+00,1.6386060e+00,1.9555934e+00
,2.0000000e+00,2.1050858e+00,2.8140171e+00,3.3689639e+00,2.8791286e+00,3.3685361e+00,1.3970146e+00,2.3553068e+00,3.6068187e+00,2.2232871e+00,1.4606687e+00
,2.0000000e+00,4.7283669e+00,1.9627666e+00,3.6208330e+00,2.1261992e+00,1.6212796e+00,3.1236431e+00,3.1717218e+00,4.1170473e+00,3.6419946e+00,3.4714721e+00
,2.0000000e+00,4.0840192e+00,3.3997097e+00,3.6578474e+00,3.8411841e+00,3.6883733e+00,4.0360100e+00,4.0486196e+00,4.6292341e+00,2.7206865e+00,2.7657487e+00
,2.0000000e+00,2.3787132e+00,1.4212135e+00,3.4259113e+00,2.8168234e+00,2.1950534e+00,3.4917086e+00,2.8976521e+00,2.5793594e+00,3.2108101e+00,3.9948832e+00
